INFO:absl:epoch:  1, train_loss: 2.0129, train_accuracy: 26.06, test_loss: 1.6575, test_accuracy: 40.93
INFO:absl:epoch:  2, train_loss: 1.5698, train_accuracy: 43.31, test_loss: 1.4795, test_accuracy: 47.06
INFO:absl:epoch:  3, train_loss: 1.4035, train_accuracy: 49.85, test_loss: 1.3240, test_accuracy: 52.49
INFO:absl:epoch:  4, train_loss: 1.2853, train_accuracy: 54.43, test_loss: 1.2423, test_accuracy: 56.22
INFO:absl:epoch:  5, train_loss: 1.1745, train_accuracy: 58.45, test_loss: 1.1840, test_accuracy: 57.66
INFO:absl:epoch:  6, train_loss: 1.0732, train_accuracy: 61.91, test_loss: 1.1324, test_accuracy: 60.22
INFO:absl:epoch:  7, train_loss: 0.9820, train_accuracy: 65.49, test_loss: 1.0409, test_accuracy: 63.14
INFO:absl:epoch:  8, train_loss: 0.9001, train_accuracy: 68.43, test_loss: 1.0084, test_accuracy: 64.63
INFO:absl:epoch:  9, train_loss: 0.8214, train_accuracy: 71.28, test_loss: 1.0005, test_accuracy: 65.17
INFO:absl:epoch: 10, train_loss: 0.7411, train_accuracy: 74.06, test_loss: 1.0701, test_accuracy: 63.61
INFO:absl:epoch: 11, train_loss: 0.6639, train_accuracy: 76.73, test_loss: 1.0232, test_accuracy: 66.66
INFO:absl:epoch: 12, train_loss: 0.5928, train_accuracy: 79.28, test_loss: 1.0010, test_accuracy: 66.20
INFO:absl:epoch: 13, train_loss: 0.5225, train_accuracy: 81.59, test_loss: 1.0314, test_accuracy: 67.32
INFO:absl:epoch: 14, train_loss: 0.4591, train_accuracy: 83.73, test_loss: 1.1371, test_accuracy: 66.55
INFO:absl:epoch: 15, train_loss: 0.4005, train_accuracy: 85.72, test_loss: 1.1621, test_accuracy: 66.81
INFO:absl:epoch: 16, train_loss: 0.3473, train_accuracy: 87.76, test_loss: 1.2058, test_accuracy: 67.05
INFO:absl:epoch: 17, train_loss: 0.2998, train_accuracy: 89.36, test_loss: 1.2760, test_accuracy: 66.26
